,entrez,Genesym
1147,5901,RAN
1148,5717,PSMD11
1149,5719,PSMD13
1150,5713,PSMD7
1151,5709,PSMD3
1152,56922,MCCC1
1153,5250,SLC25A3
1154,22824,HSPA4L
1155,5315,PKM
1156,5601,MAPK9
1157,10856,RUVBL2
1158,10808,HSPH1
1159,10694,CCT8
1160,10574,CCT7
1161,10575,CCT4
1162,5955,RCN2
1163,10487,CAP1
1164,10383,TUBB4B
1165,10213,PSMD14
1166,80321,CEP70
1167,339834,CCDC36
1168,9344,TAOK2
1169,9107,MTMR6
1170,64801,ARV1
1171,64689,GORASP1
1172,90850,ZNF598
1173,200894,ARL13B
1174,23582,CCNDBP1
1175,55149,MTPAP
1176,5987,TRIM27
1177,55286,C4orf19
1178,10112,KIF20A
1179,4342,MOS
1180,10767,HBS1L
1181,6136,RPL12
1182,9775,EIF4A3
1183,150274,HSCB
1184,254427,PROSER2
1185,9880,ZBTB39
1186,9447,AIM2
1187,64428,NARFL
1188,3607,FOXK2
1189,23554,TSPAN12
1190,4693,NDP
1191,8322,FZD4
1192,51514,DTL
1193,10980,COPS6
1194,11091,WDR5
1195,83743,GRWD1
1196,387893,KMT5A
1197,5111,PCNA
1198,4436,MSH2
1199,2648,KAT2A
1200,2956,MSH6
1201,10987,COPS5
1202,9212,AURKB
1203,51138,COPS4
1204,4193,MDM2
1205,79016,DDA1
1206,10140,TOB1
1207,545,ATR
1208,8533,COPS3
1209,7283,TUBG1
1210,56852,RAD18
1211,6596,HLTF
1212,80204,FBXO11
1213,1111,CHEK1
1214,257218,SHPRH
1215,1080,CFTR
1216,84893,FBXO18
1217,6996,TDG
1218,81620,CDT1
1219,9338,TCEAL1
1220,138199,CARNMT1
1221,2073,ERCC5
1222,7334,UBE2N
1223,2810,SFN
1224,7329,UBE2I
1225,50813,COPS7A
1226,7468,NSD2
1227,347862,PDDC1
1228,817,CAMK2D
1229,11146,GLMN
1230,5202,PFDN2
1231,10920,COPS8
1232,57804,POLD4
1233,54849,DEF8
1234,10477,UBE2E3
1235,7324,UBE2E1
1236,7325,UBE2E2
1237,64077,LHPP
1238,84064,HDHD2
1239,390637,GDPGP1
1240,51003,MED31
1241,10912,GADD45G
1242,112950,MED8
1243,55090,MED9
1244,54797,MED18
1245,219541,MED19
1246,1363,CPE
1247,1959,EGR2
1248,3163,HMOX2
1249,6118,RPA2
1250,6303,SAT1
1251,3910,LAMA4
1252,5272,SERPINB9
1253,7050,TGIF1
1254,3276,PRMT1
1255,5050,PAFAH1B3
1256,8991,SELENBP1
1257,5201,PFDN1
1258,10551,AGR2
1259,29924,EPN1
1260,2079,ERH
1261,11100,HNRNPUL1
1262,55147,RBM23
1263,84878,ZBTB45
1264,84164,ASCC2
1265,2948,GSTM4
1266,166,AES
1267,5985,RFC5
1268,4773,NFATC2
1269,4097,MAFG
1270,1759,DNM1
1271,11313,LYPLA2
1272,785,CACNB4
1273,11243,PMF1
1274,64129,TINAGL1
1275,80304,WDCP
1276,84246,MED10
